source_id,source_file,source_type,title,category,product,component,status,content_clean,risk_level,validated,allowed_for_ai
kb-0001,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Criação de VPN-IPSEC - FORTIGATE - KB [PHONE_MASKED],KBs Internos,,,Published,Autor: Breno Viana | ID: [PHONE_MASKED] | Título: Criação de VPN-IPSEC - FORTIGATE - KB [PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-05 12:23:22 | Categoria: KBs Internos | Pasta: Fortinet | Data modificada: 2026-05-11 11:26:22 | Criado a partir do problema: FALSE | Last Updated: 2026-05-11 11:26:22,low,false,true
kb-0002,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Nutanix - Server Not Reachable — KB-[PHONE_MASKED],KBs Internos,Nutanix,,Published,Autor: Breno Viana | ID: [PHONE_MASKED] | Título: Nutanix - Server Not Reachable — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2026-05-14 14:52:37 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-20 09:26:54 | Criado a partir do problema: FALSE | Viewed by Name: Breno Viana | Last Updated: 2026-05-20 09:26:54,low,false,true
kb-0003,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Disk Space Usage High for /home/log/audit on PCVM XXX.XXX.XXX.XXX — KB [PHONE_MASKED],KBs Internos,Nutanix,CVM,Draft,Autor: Breno Viana | ID: [PHONE_MASKED] | Título: Disk Space Usage High for /home/log/audit on PCVM XXX.XXX.XXX.XXX — KB [PHONE_MASKED] | Tipo: Permanent | Status: Draft | Data de criação: 2026-06-09 13:17:37 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-15 17:49:21 | Criado a partir do problema: FALSE | Viewed by Name: Beatriz Gadelha | Last Updated: 2026-06-15 17:48:47,low,false,true
kb-0004,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Disk Space Usage High for /home/log/audit on PCVM XXX.XXX.XXX.XXX — KB [PHONE_MASKED],KBs Internos,Nutanix,CVM,Draft,Autor: Breno Viana | ID: [PHONE_MASKED] | Título: Disk Space Usage High for /home/log/audit on PCVM XXX.XXX.XXX.XXX — KB [PHONE_MASKED] | Tipo: Permanent | Status: Draft | Data de criação: 2026-06-09 13:17:37 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-06-15 17:49:21 | Criado a partir do problema: FALSE | Viewed by Name: Breno Viana | Last Updated: 2026-06-15 17:48:47,low,false,true
kb-0005,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Guia para abertura de chamados na Freshservice,Dúvidas Frequentes / Suporte,,,Published,Autor: Andre Garcia | ID: [PHONE_MASKED] | Título: Guia para abertura de chamados na Freshservice | Tipo: Permanent | Status: Published | Data de criação: 2025-07-02 18:14:26 | Categoria: Dúvidas Frequentes / Suporte | Pasta: Manuais | Data modificada: 2025-07-02 18:18:50 | Criado a partir do problema: FALSE | Ticket associado ID: [TICKET_ID_MASKED] | Last Updated: 2025-07-02 18:18:50,low,false,true
kb-0006,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Criação e Configuração de VLAN porta trunk no Juniper — KB-[PHONE_MASKED],KBs Internos,,,Published,Autor: Marcos Martins | ID: [PHONE_MASKED] | Título: Criação e Configuração de VLAN porta trunk no Juniper — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-08-14 17:31:52 | Categoria: KBs Internos | Pasta: Juniper | Data modificada: 2026-04-29 11:21:35 | Ticket associado ID: MI-1139 | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-04-29 11:21:35,low,false,true
kb-0007,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Atualização do PostgreSQL — KB-[PHONE_MASKED],KBs Internos,,,Published,Autor: Marcos Martins | ID: [PHONE_MASKED] | Título: Atualização do PostgreSQL — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-08-18 11:06:07 | Categoria: KBs Internos | Pasta: Veeam | Data modificada: 2026-04-29 10:09:45 | Criado por Freddy: Andre Garcia | Last Updated: 2026-04-29 10:09:45,low,false,true
kb-0008,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Ativar 'Application-Aware Processing' — KB-[PHONE_MASKED],KBs Internos,,,Published,Autor: Marcos Martins | ID: [PHONE_MASKED] | Título: Ativar 'Application-Aware Processing' — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-12-09 16:42:03 | Categoria: KBs Internos | Pasta: Veeam | Data modificada: 2026-04-29 10:08:51 | Ticket associado ID: [TICKET_ID_MASKED] | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-04-29 10:08:51,low,false,true
kb-0009,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Ativar 'Application-Aware Processing' — KB-[PHONE_MASKED],KBs Internos,,,Published,Autor: Marcos Martins | ID: [PHONE_MASKED] | Título: Ativar 'Application-Aware Processing' — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Published | Data de criação: 2025-12-09 16:42:03 | Categoria: KBs Internos | Pasta: Veeam | Data modificada: 2026-04-29 10:08:51 | Criado por Freddy: Ana Paula Costa | Last Updated: 2026-04-29 10:08:51,low,false,true
kb-0010,Base_de_conhecimento_exportada__Sheet1.csv,kb_article,Diagnóstico e Tratamento de Erro de Memória (DIMM RAS / hPPR) — KB-[PHONE_MASKED],KBs Internos,Nutanix,,Draft,Autor: Marcos Martins | ID: [PHONE_MASKED] | Título: Diagnóstico e Tratamento de Erro de Memória (DIMM RAS / hPPR) — KB-[PHONE_MASKED] | Tipo: Permanent | Status: Draft | Data de criação: 2026-05-08 14:52:12 | Categoria: KBs Internos | Pasta: Nutanix | Data modificada: 2026-05-26 15:35:58 | Criado por Freddy: Beatriz Gadelha | Last Updated: 2026-05-27 01:00:01,medium,false,true
