Autor,ID,Título,Tipo,Status,Data de criação,Categoria,Pasta,Data modificada,Data de revisão,Criado a partir do problema,Viewed by Name,Status da Aprovação,Ticket associado ID,Criado por Freddy,Last Updated
Breno Viana,33000052297,Criação de VPN-IPSEC -  FORTIGATE - KB 33000052297,Permanent,Published,2026-05-05 12:23:22,KBs Internos,Fortinet,2026-05-11 11:26:22,,FALSE,,,,,2026-05-11 11:26:22
Breno Viana,33000053142,Nutanix - Server Not Reachable — KB-33000052092,Permanent,Published,2026-05-14 14:52:37,KBs Internos,Nutanix,2026-05-20 09:26:54,,FALSE,Breno Viana,,,,2026-05-20 09:26:54
Breno Viana,33000055061,Disk Space Usage High for /home/log/audit on PCVM XXX.XXX.XXX.XXX — KB 33000055061,Permanent,Draft,2026-06-09 13:17:37,KBs Internos,Nutanix,2026-06-15 17:49:21,,FALSE,Beatriz Gadelha,,,,2026-06-15 17:48:47
Breno Viana,33000055061,Disk Space Usage High for /home/log/audit on PCVM XXX.XXX.XXX.XXX — KB 33000055061,Permanent,Draft,2026-06-09 13:17:37,KBs Internos,Nutanix,2026-06-15 17:49:21,,FALSE,Breno Viana,,,,2026-06-15 17:48:47
Andre Garcia,33000033268,Guia para abertura de chamados na Freshservice,Permanent,Published,2025-07-02 18:14:26,Dúvidas Frequentes / Suporte,Manuais,2025-07-02 18:18:50,,FALSE,,,INC-939,,2025-07-02 18:18:50
Marcos Martins,33000035867,Criação e Configuração de VLAN porta trunk no Juniper — KB-33000035867,Permanent,Published,2025-08-14 17:31:52,KBs Internos,Juniper,2026-04-29 11:21:35,,,,,MI-1139,Beatriz Gadelha,2026-04-29 11:21:35
Marcos Martins,33000037062,Atualização do PostgreSQL — KB-33000037062,Permanent,Published,2025-08-18 11:06:07,KBs Internos,Veeam,2026-04-29 10:09:45,,,,,,Andre Garcia,2026-04-29 10:09:45
Marcos Martins,33000045411,Ativar 'Application-Aware Processing' — KB-33000045411,Permanent,Published,2025-12-09 16:42:03,KBs Internos,Veeam,2026-04-29 10:08:51,,,,,INC-1084,Beatriz Gadelha,2026-04-29 10:08:51
Marcos Martins,33000045411,Ativar 'Application-Aware Processing' — KB-33000045411,Permanent,Published,2025-12-09 16:42:03,KBs Internos,Veeam,2026-04-29 10:08:51,,,,,,Ana Paula Costa,2026-04-29 10:08:51
Marcos Martins,33000052573,Diagnóstico e Tratamento de Erro de Memória (DIMM RAS / hPPR) — KB-33000052573,Permanent,Draft,2026-05-08 14:52:12,KBs Internos,Nutanix,2026-05-26 15:35:58,,,,,,Beatriz Gadelha,2026-05-27 01:00:01
Marcos Martins,33000053283,Configuração de SSH sem senha em cluster Nutanix — KB-33000053283,Permanent,Draft,2026-05-18 11:46:31,KBs Internos,Nutanix,2026-05-18 11:46:43,,,,,,Beatriz Gadelha,2026-05-26 12:44:11
Beatriz Gadelha,33000034773,LCM Connectivity Issue — KB-33000034773,Permanent,Published,2025-07-24 17:39:23,KBs Internos,Nutanix,2026-05-18 09:28:37,,FALSE,,,,,2026-05-18 09:28:37
Beatriz Gadelha,33000034774,Migrar OVS bridge br0 de um Virtual Switch no Nutanix — KB-33000034774,Permanent,Published,2025-07-24 17:42:10,KBs Internos,Nutanix,2026-04-29 10:11:50,,FALSE,,,,Beatriz Gadelha,2026-04-29 10:11:50
Beatriz Gadelha,33000034847,Apagar Orphan Snapshot — KB-33000034847,Permanent,Published,2025-07-25 10:55:05,KBs Internos,Nutanix,2026-05-04 10:48:38,,FALSE,,,INC-1084,Beatriz Gadelha,2026-05-04 10:48:38
Beatriz Gadelha,33000034857,Mudar Todas as Senhas SSH em um Cluster Nutanix — KB-33000034857,Permanent,Published,2025-07-25 12:27:43,KBs Internos,Nutanix,2026-04-29 10:13:24,,FALSE,,,,Beatriz Gadelha,2026-04-29 10:13:24
Beatriz Gadelha,33000035503,Criação do Cluster NKP no Nutanix — Passo a passo com explicações — KB-33000035503,Permanent,Published,2025-08-07 10:43:04,KBs Internos,Nutanix,2026-04-29 10:08:10,,FALSE,,,,Beatriz Gadelha,2026-04-29 10:08:10
Beatriz Gadelha,33000053125,Troubleshoot de Falhas Intermitentes na API e Erro 'Certificate has Expired' no NKP — KB-33000053125,Permanent,Draft,2026-05-14 11:48:45,KBs Internos,Nutanix,2026-05-21 18:19:55,,FALSE,,,,,2026-05-21 18:19:55
Beatriz Gadelha,33000053128,Renovação e Atualização de Certificados do Control Plane no NKP — KB-33000053128,Permanent,Published,2026-05-14 12:05:36,KBs Internos,Nutanix,2026-05-14 12:21:25,,FALSE,,,,,2026-05-14 12:21:25
Beatriz Gadelha,33000053338,Tasks Travadas (Stuck Tasks) no Nutanix — KB-33000053338,Permanent,Published,2026-05-19 15:12:29,KBs Internos,Nutanix,2026-05-19 15:31:03,,FALSE,,,,Beatriz Gadelha,2026-05-19 15:31:03
Beatriz Gadelha,33000053338,Tasks Travadas (Stuck Tasks) no Nutanix — KB-33000053338,Permanent,Published,2026-05-19 15:12:29,KBs Internos,Nutanix,2026-05-19 15:31:03,,FALSE,,,,Kaike Maciel,2026-05-19 15:31:03
Beatriz Gadelha,33000053435,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-33000053435,Permanent,Published,2026-05-20 17:34:45,KBs Internos,Nutanix,2026-05-21 17:09:46,,FALSE,,Approved,,Beatriz Gadelha,2026-05-21 17:09:46
Beatriz Gadelha,33000053435,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-33000053435,Permanent,Published,2026-05-20 17:34:45,KBs Internos,Nutanix,2026-05-21 17:09:46,,FALSE,,Approved,,Ana Paula Costa,2026-05-21 17:09:46
Beatriz Gadelha,33000053435,Desregistro (Unregister) de Cluster e Prism Central: Fluxos Padrão e Forçado — KB-33000053435,Permanent,Published,2026-05-20 17:34:45,KBs Internos,Nutanix,2026-05-21 17:09:46,,FALSE,,Approved,,Kaike Maciel,2026-05-21 17:09:46
Beatriz Gadelha,33000053642,Remover Cluster da Blacklist para Registro no Prism Central - KB-33000053642,Permanent,Published,2026-05-26 17:20:15,KBs Internos,Nutanix,2026-05-26 17:23:09,,FALSE,,Approved,,Beatriz Gadelha,2026-05-26 17:23:09
Beatriz Gadelha,33000053647,"Procedimento de Recuperação Completa de Nó: Phoenix, CVM Ring e Metadata Store",Permanent,Draft,2026-05-26 17:45:04,KBs Internos,Nutanix,2026-05-26 17:45:04,,FALSE,,,,,2026-05-26 17:45:04
Beatriz Gadelha,33000054045,Troubleshooting Prometheus Pod CrashLoop on PC 2024.x (CMSP WAL Corruption) -  KB-33000054045,Permanent,Published,2026-06-01 12:07:04,KBs Internos,Nutanix,2026-06-01 12:07:52,,FALSE,,Approved,,,2026-06-01 12:07:52
Beatriz Gadelha,33000054046,Resolving 'Unhealthy' ClusterWorkflow Status Post-Service Recovery via mspctl — KB-33000054046,Permanent,Published,2026-06-01 12:12:01,KBs Internos,Nutanix,2026-06-01 12:12:41,,FALSE,,Approved,,,2026-06-01 12:12:41
Beatriz Gadelha,33000055268,Restabelecimento do Módulo de Infraestrutura (pc.7.5.1.4) - KB-33000055268,Permanent,Published,2026-06-15 09:42:50,KBs Internos,Nutanix,2026-06-15 09:43:43,,FALSE,,Approved,INC-1324,Beatriz Gadelha,2026-06-15 09:43:43
